verdict	reason	why	seed_id	seed_title	seed_date	seed_cat	seed_blurb	dump_id	dump_title	dump_date	dump_cat	dump_notability
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	title	seed:azerbaijan-1991-08-30	Azerbaijan	1991-08-30	founding	The Republic of Azerbaijan secedes from the Soviet Union. Baku remains the capital.	Q227	Azerbaijan	1991-01-01	founding	1
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	title	seed:central-african-republic-1960-08-13	Central African Republic	1960-08-13	founding	The Central African Republic gains independence from the French Republic. Bangui remains the capital.	Q929	Central African Republic	1960-01-01	founding	1
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	title	seed:colombia-1810-07-20	Colombia	1810-07-20	founding	Colombia declares its independence from the Monarchy of Spain.	Q739	Colombia	1810-01-01	founding	1
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	title	seed:confederation-of-the-equator-1824-07-02	Confederation of the Equator	1824-07-02	founding	The Confederation of the Equator declares independence from the Empire of Brazil. Recife is the capital, but the Confede	Q977981	Confederation of the Equator	1824-01-01	conflict	0.16
merge-date-then-drop-seed	independence was Jun 27 - ours is right, dump says Jun 23 (4 days apart)	title	seed:djibouti-1977-06-27	Djibouti	1977-06-27	founding	Following a referendum, the French Territory of the Afars and the Issas gains independence from France as the Republic o	Q977	Djibouti	1977-06-23	founding	1
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	title	seed:dominica-1978-11-03	Dominica	1978-11-03	founding	The associated state of Dominica gains independence from the United Kingdom as the Commonwealth of Dominica. Roseau rema	Q784	Dominica	1978-01-01	founding	1
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	title	seed:dominican-republic-1844-02-27	Dominican Republic	1844-02-27	founding	The Dominican Republic gains independence from Haiti. Santo Domingo is the capital.	Q786	Dominican Republic	1844-01-01	founding	1
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	title	seed:fiji-1970-10-10	Fiji	1970-10-10	founding	The Colony of Fiji gains independence from the United Kingdom as the Dominion of Fiji.	Q712	Fiji	1970-01-01	founding	1
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	title	seed:first-republic-of-venezuela-1810-04-19	First Republic of Venezuela	1810-04-19	founding	The First Republic of Venezuela is established, starting the Venezuelan War of Independence from Spain.	Q8935	First Republic of Venezuela	1810-01-01	founding	0.16
merge-date-then-drop-seed	same fact; adopt the seed date on the dump row, then drop the seed row	title	seed:gabon-1960-08-17	Gabon	1960-08-17	founding	The Gabonese Republic (Gabon) gains independence from the French Republic. Libreville remains the capital.	Q1000	Gabon	1960-01-01	founding	1
